Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP Request,10,29,19,21,21,127,15,127,0.000%,1.10791,1.26,0.15
TOTAL,10,29,19,21,21,127,15,127,0.000%,1.10791,1.26,0.15
